Allel	Frequenz		
24.2	0.000565291
25	0.000423968
25.2	0.00049463
26	0.00169587
26.2	0.000141323
27	0.0301724
28	0.152841
28.1	7.06614E-05
28.2	0.000141323
28.3	7.06614E-05
29	0.215871
29.2	0.000918598
29.3	0.000211984
30	0.239825
30.2	0.0424675
31	0.071156
31.2	0.0920011
31.3	7.06614E-05
32	0.0137083
32.2	0.0990673
33	0.00113058
33.1	0.000141323
33.2	0.0324336
34	0.000211984
34.2	0.00374505
35	7.06614E-05
35.2	0.000353307
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
