Allel	Frequenz		
16	0.000706914
17	0.00113106
18	0.0146331
19	0.0721052
19.2	0.000141383
20	0.137636
20.2	0.000706914
21	0.179344
21.2	0.00240351
22	0.180334
22.2	0.00954333
23	0.148593
23.2	0.00537254
24	0.134738
24.1	7.06914E-05
24.2	0.000848296
25	0.0779019
25.2	0.000353457
26	0.0278524
26.2	0.000141383
27	0.00395872
28	0.00106037
29	0.000212074
30	7.06914E-05
33.2	7.06914E-05
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
	
