Allel	Frequenz		
6.3	0.000304816
7.3	0.000101605
8	0.000101605
9	0.000203211
9.2	0.000101605
10	0.000203211
11	0.000508027
11.2	0.000304816
12	0.00396261
12.1	0.000101605
12.2	0.000304816
12.3	0.000101605
13	0.00863646
13.2	0.00203211
13.3	0.000101605
14	0.0282463
14.2	0.00223532
14.3	0.000203211
15	0.0415566
15.2	0.00111766
15.3	0.000609632
16	0.0476529
16.1	0.000304816
16.2	0.000609632
16.3	0.00213371
17	0.06899
17.1	0.000101605
17.2	0.000508027
17.3	0.00121926
18	0.0781345
18.1	0.000101605
18.2	0.000812843
18.3	0.00111766
19	0.0729527
19.2	0.00264174
19.3	0.000101605
20	0.048669
20.2	0.00965251
21	0.0276367
21.2	0.0138183
22	0.00904288
22.2	0.0272302
23	0.00213371
23.2	0.03861
24	0.000304816
24.2	0.030888
25	0.000304816
25.2	0.0396261
26	0.000203211
26.2	0.0531396
26.3	0.000203211
27	0.000101605
27.2	0.0746799
27.3	0.000203211
28	0.000406421
28.2	0.0771185
28.3	0.000101605
29	0.000609632
29.2	0.0631985
29.3	0.000203211
30	0.000101605
30.1	0.000101605
30.2	0.0519203
31	0.000406421
31.2	0.0301768
32	0.000609632
32.2	0.0123959
33	0.00447064
33.2	0.00518187
34	0.00304816
34.2	0.00223532
35	0.00152408
35.2	0.000203211
36	0.000711238
36.2	0.000203211
37	0.000203211
